x_ext	$X (L)$	$X^{1}_{\infty}$	$X^{2}_{\infty}$	$X^{3}_{\infty}$	$X^{*} (L)$
0.0	-2.276016856533014	-2.3055009787788268	48.52164573349475	8240.35037738823	31.57926349499564
5.0505050505050505e-05	-2.275882491410724	-2.305203166479129	48.00840195243349	8157.262482929285	31.237200245065555
0.00010101010101010101	-2.275748126288434	-2.304905354179431	47.49515817137224	8074.174588470344	30.895136995135477
0.00015151515151515152	-2.275613761166144	-2.304607541879733	46.981914390310976	7991.086694011402	30.553073745205392
0.00020202020202020202	-2.275479396043854	-2.304309729580035	46.46867060924973	7907.998799552459	30.211010495275307
0.0002525252525252525	-2.2753450309215637	-2.304011917280337	45.955426828188465	7824.910905093518	29.868947245345222
0.00030303030303030303	-2.275210665799274	-2.303714104980639	45.442183047127216	7741.8230106345745	29.526883995415137
0.00035353535353535354	-2.2750763006769836	-2.303416292680941	44.92893926606595	7658.735116175633	29.18482074548506
0.00040404040404040404	-2.274941935554694	-2.3031184803812432	44.415695485004704	7575.647221716691	28.84275749555497
0.00045454545454545455	-2.274807570432404	-2.3028206680815453	43.90245170394344	7492.559327257748	28.500694245624885
0.000505050505050505	-2.2746732053101137	-2.302522855781848	43.38920792288218	7409.471432798807	28.158630995694804
0.0005555555555555556	-2.274538840187824	-2.30222504348215	42.87596414182093	7326.383538339864	27.81656774576472
0.0006060606060606061	-2.2744044750655337	-2.301927231182452	42.36272036075967	7243.295643880922	27.47450449583464
0.0006565656565656566	-2.274270109943244	-2.301629418882754	41.84947657969842	7160.20774942198	27.132441245904552
0.0007070707070707071	-2.2741357448209536	-2.301331606583056	41.336232798637155	7077.119854963037	26.790377995974467
0.0007575757575757576	-2.274001379698664	-2.301033794283358	40.82298901757591	6994.031960504096	26.448314746044385
0.0008080808080808081	-2.2738670145763735	-2.30073598198366	40.309745236514644	6910.944066045154	26.1062514961143
0.0008585858585858586	-2.2737326494540837	-2.300438169683962	39.79650145545338	6827.856171586211	25.764188246184215
0.0009090909090909091	-2.273598284331794	-2.3001403573842643	39.28325767439213	6744.768277127269	25.422124996254134
0.0009595959595959596	-2.2734639192095036	-2.2998425450845663	38.77001389333087	6661.680382668326	25.08006174632405
0.00101010101010101	-2.273329554087214	-2.2995447327848684	38.256770112269606	6578.592488209384	24.737998496393963
0.0010606060606060605	-2.2731951889649236	-2.2992469204851704	37.74352633120836	6495.504593750443	24.395935246463882
0.0011111111111111111	-2.2730608238426337	-2.2989491081854725	37.230282550147095	6412.4166992915	24.053871996533797
0.0011616161616161617	-2.2729264587203435	-2.2986512958857745	36.717038769085846	6329.328804832558	23.711808746603715
0.0012121212121212121	-2.2727920935980537	-2.2983534835860766	36.20379498802458	6246.240910373615	23.36974549667363
0.0012626262626262625	-2.2726577284757634	-2.2980556712863787	35.690551206963335	6163.153015914674	23.02768224674355
0.0013131313131313131	-2.2725233633534736	-2.2977578589866807	35.17730742590207	6080.065121455732	22.685618996813464
0.0013636363636363637	-2.2723889982311833	-2.297460046686983	34.66406364484081	5996.977226996789	22.34355574688338
0.0014141414141414141	-2.2722546331088935	-2.297162234387285	34.15081986377956	5913.889332537847	22.001492496953297
0.0014646464646464645	-2.2721202679866037	-2.296864422087587	33.6375760827183	5830.801438078905	21.659429247023212
0.0015151515151515152	-2.2719859028643135	-2.296566609787889	33.124332301657034	5747.713543619962	21.317365997093127
0.0015656565656565658	-2.2718515377420236	-2.296268797488191	32.611088520595786	5664.62564916102	20.97530274716304
0.0016161616161616162	-2.2717171726197334	-2.295970985188493	32.09784473953452	5581.537754702078	20.63323949723296
0.0016666666666666666	-2.2715828074974436	-2.295673172888795	31.58460095847327	5498.449860243136	20.29117624730288
0.0017171717171717172	-2.2714484423751533	-2.295375360589097	31.071357177412015	5415.361965784195	19.949112997372794
0.0017676767676767678	-2.2713140772528635	-2.2950775482893992	30.55811339635076	5332.2740713252515	19.60704974744271
0.0018181818181818182	-2.2711797121305732	-2.2947797359897013	30.044869615289496	5249.186176866309	19.264986497512623
0.0018686868686868686	-2.2710453470082834	-2.2944819236900034	29.531625834228244	5166.098282407367	18.922923247582542
0.0019191919191919192	-2.2709109818859936	-2.2941841113903054	29.018382053166984	5083.010387948425	18.580859997652457
0.00196969696969697	-2.2707766167637033	-2.2938862990906075	28.50513827210573	4999.922493489483	18.238796747722372
0.00202020202020202	-2.2706422516414135	-2.2935884867909095	27.991894491044473	4916.834599030541	17.89673349779229
0.0020707070707070706	-2.2705078865191233	-2.2932906744912116	27.478650709983214	4833.7467045715985	17.554670247862205
0.002121212121212121	-2.2703735213968335	-2.2929928621915137	26.965406928921958	4750.658810112657	17.212606997932124
0.002171717171717172	-2.270239156274543	-2.2926950498918157	26.4521631478607	4667.570915653714	16.87054374800204
0.0022222222222222222	-2.2701047911522534	-2.2923972375921178	25.938919366799443	4584.483021194772	16.528480498071954
0.0022727272727272726	-2.269970426029963	-2.2920994252924203	25.425675585738187	4501.39512673583	16.186417248141872
0.0023232323232323234	-2.2698360609076733	-2.2918016129927223	24.912431804676928	4418.307232276888	15.844353998211787
0.002373737373737374	-2.269701695785383	-2.2915038006930244	24.39918802361567	4335.219337817945	15.502290748281702
0.0024242424242424242	-2.2695673306630932	-2.2912059883933265	23.885944242554416	4252.131443359003	15.16022749835162
0.0024747474747474746	-2.2694329655408034	-2.2909081760936285	23.37270046149316	4169.043548900061	14.818164248421535
0.002525252525252525	-2.269298600418513	-2.2906103637939306	22.859456680431904	4085.95565444112	14.476100998491454
